IITA_Cassava_Kephis_ICK,MeristemID1,MeristemID2,MeristemID3,MeristemID4,MeristemID5,MeristemID6,MeristemID7,MeristemID8,MeristemID9,MeristemID10,MeristemID11,MeristemID12,MeristemID13,NumberMeristems
ICK076,"",,,,,,,,,,,,,1
ICK001,ICK001_Tip,,,,,,,,,,,,,1
ICK002,ICK002_M1,ICK002_M2,ICK002_M3,ICK002_M4,ICK002_M5,ICK002_M6,ICK002_M7,ICK002_M8,,,,,,8
ICK003,ICK003_Tip,,,,,,,,,,,,,1
ICK004,ICK004_M1,ICK004_M2,,,,,,,,,,,,2
ICK005,ICK005_M1,ICK005_M2,ICK005_M3,,,,,,,,,,,3
ICK008,ICK008_M1,ICK008_M2,ICK008_M3,ICK008_M4,ICK008_M5,ICK008_M6,ICK008_M7,ICK008_M8,ICK008_Tip,,,,,9
ICK009,ICK009_M1,ICK009_M2,,,,,,,,,,,,2
ICK010,ICK010_M1,,,,,,,,,,,,,1
ICK014,ICK014_M1,ICK014_M2,ICK014_M3,ICK014_M4,,,,,,,,,,4
ICK016,ICK016_M1,,,,,,,,,,,,,1
ICK017,ICK017_M1,,,,,,,,,,,,,1
ICK018,ICK018_M1,ICK018_M2,ICK018_M3,ICK018_M4,ICK018_Tip,,,,,,,,,5
ICK020,ICK020_M1,ICK020_M2,ICK020_M3,,,,,,,,,,,3
ICK022,ICK022_Tip,,,,,,,,,,,,,1
ICK024,ICK024_M1,ICK024_M2,ICK024_M3,ICK024_M4,ICK024_M5,,,,,,,,,5
ICK025,ICK025_M1,ICK025_M2,ICK025_M4,,,,,,,,,,,3
ICK026,ICK026_M1,ICK026_M2,ICK026_M3,ICK026_M4,,,,,,,,,,4
ICK027,ICK027_M1,ICK027_M2,ICK027_M4,ICK027_M6,,,,,,,,,,4
ICK028,ICK028_M1,ICK028_M2,ICK028_M3,ICK028_M4,ICK028_M5,,,,,,,,,5
ICK029,ICK029_M1,ICK029_M2,ICK029_M3,ICK029_M4,ICK029_M5,ICK029_M6,,,,,,,,6
